device_type,zone_id,protocol,mqtt_msg_type,src_port,dst_port,packet_size,packets_per_second,connection_duration,bytes_transferred,unique_dst_ips_contacted,avg_request_interval,syn_flag_count,rst_flag_count,failed_login_attempts,is_encrypted,mac_ip_mismatch,signal_preemption_request,gps_deviation_km,hour_of_day,day_type,label
dispatch_server,downtown,HTTPS,none,4163,443,370,16.673,26.9,44366,2,367.377,1,0,0,1,0,0,0.0,0,weekend,normal
ambulance_tracker,hospital_zone,HTTPS,none,59679,443,246,2.964,38.32,13862,1,44.424,1,0,0,1,0,1,0.094,12,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,9219,443,153,4.44,67.06,19747,2,478.454,0,0,0,0,1,1,12.549,17,weekday,spoofing
dispatch_server,downtown,HTTPS,none,63586,443,941,16.787,0.5,26404,2,17.918,1,0,0,0,0,1,0.0,4,weekend,command_injection
ambulance_tracker,arterial_road,HTTPS,none,36243,443,168,3.477,66.45,2955,2,3.952,2,0,0,1,0,1,0.102,7,weekday,normal
signal_controller,downtown,MQTT,subscribe,23595,1883,148,5.805,164.95,10426,3,205.527,1,0,0,0,0,0,0.0,20,weekend,normal
dispatch_server,hospital_zone,HTTPS,none,7044,443,847,14.972,49.98,140366,2,162.577,1,1,0,1,0,0,0.0,7,weekday,normal
signal_controller,residential,MQTT,subscribe,28127,1883,1297,326.637,2.25,14105,2,0.2182,939,386,0,0,0,0,0.0,3,weekend,ddos
signal_controller,residential,MQTT,subscribe,36598,1883,58,355.289,3.6,13234,2,0.1864,843,114,0,0,0,0,0.0,6,weekday,ddos
dispatch_server,hospital_zone,HTTPS,none,52557,443,803,18.711,24.68,40895,3,12.798,1,0,1,1,0,0,0.0,14,weekday,normal
signal_controller,arterial_road,MQTT,subscribe,37132,1883,131,5.491,82.92,10824,3,50.722,2,0,0,1,0,0,0.0,7,weekend,normal
dispatch_server,hospital_zone,HTTPS,none,6209,22,793,1.245,0.44,1887,1,1.426,1,0,24,1,0,0,0.0,10,weekday,brute_force
signal_controller,hospital_zone,MQTT,subscribe,39160,1883,226,1.176,267.37,4624,2,125.405,1,0,0,1,0,0,0.0,19,weekend,normal
ambulance_tracker,hospital_zone,HTTPS,none,6867,443,149,2.032,85.66,9955,2,62.93,0,0,0,1,0,0,0.109,20,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,46860,443,304,1.676,49.62,6813,1,10.527,2,0,0,1,0,0,0.088,8,weekend,normal
traffic_camera,hospital_zone,TCP,none,28820,8080,1012,13.556,105.55,436631,3,95.932,0,0,0,1,0,0,0.0,1,weekday,normal
traffic_camera,hospital_zone,TCP,none,60629,8080,701,5.962,210.54,489833,1,32.054,2,0,0,1,0,0,0.0,0,weekday,normal
ambulance_tracker,downtown,HTTPS,none,25425,443,117,0.853,62.36,9772,1,32.988,0,0,0,1,0,0,0.065,4,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,22640,443,357,15.892,45.46,199175,1,125.028,0,0,0,1,0,0,0.0,2,weekday,normal
traffic_camera,hospital_zone,TCP,none,28376,8080,1222,10.795,265.9,461859,1,98.918,2,0,0,1,0,0,0.0,11,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,2807,443,280,3.205,51.32,12822,2,27.859,0,0,0,1,0,0,0.015,9,weekday,normal
signal_controller,residential,MQTT,subscribe,61507,1883,179,2.862,226.61,12291,2,11.87,0,0,0,1,0,0,0.0,1,weekend,normal
traffic_camera,hospital_zone,TCP,none,37489,8080,1226,15.606,193.4,532013,2,76.634,0,0,0,0,0,0,0.0,4,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,3150,443,231,2.579,32.66,8598,1,63.483,1,0,0,1,0,0,0.05,2,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,52001,443,887,18.383,60.27,139858,1,628.95,0,0,0,1,0,0,0.0,0,weekend,normal
traffic_camera,downtown,TCP,none,44417,8080,970,24.998,241.83,413299,3,7.742,1,0,0,1,0,0,0.0,11,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,22977,443,801,17.218,24.08,140532,1,145.648,0,0,0,1,0,0,0.0,14,weekday,normal
dispatch_server,downtown,HTTPS,none,58824,443,411,4.812,176.82,25067,1,29.383,0,0,0,1,0,1,0.0,13,weekday,normal
traffic_camera,arterial_road,TCP,none,47853,8080,1320,16.31,98.86,351305,1,100.807,1,0,0,1,0,0,0.0,5,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,29508,443,145,1.264,20.22,3957,1,164.592,0,0,0,1,0,0,0.015,11,weekday,normal
dispatch_server,downtown,HTTPS,none,2164,443,202,2.576,96.27,22710,2,28.707,1,0,0,1,0,0,0.0,0,weekday,normal
traffic_camera,hospital_zone,TCP,none,43892,8080,726,20.884,167.31,119103,2,44.634,1,0,0,1,0,0,0.0,23,weekday,normal
traffic_camera,downtown,TCP,none,27626,8080,1449,14.088,250.96,147723,1,49.671,0,1,0,1,0,0,0.0,18,weekday,normal
dispatch_server,downtown,HTTPS,none,7464,443,275,4.076,113.42,28783,3,209.48,1,0,0,1,0,0,0.0,21,weekday,normal
dispatch_server,downtown,HTTPS,none,21022,443,731,17.477,25.03,126233,2,237.181,1,0,0,1,0,1,0.0,6,weekday,normal
signal_controller,arterial_road,MQTT,subscribe,52869,1883,239,3.029,171.89,6275,1,53.165,1,0,0,1,0,0,0.0,16,weekday,normal
signal_controller,downtown,MQTT,subscribe,22736,1883,89,1.117,219.67,14110,1,206.409,2,0,1,1,0,0,0.0,1,weekday,normal
dispatch_server,downtown,HTTPS,none,28065,443,788,11.204,162.38,164317,1,208.343,1,0,0,1,0,1,0.0,16,weekday,normal
signal_controller,downtown,MQTT,subscribe,58039,1883,217,3.61,83.03,10374,3,24.64,1,0,1,1,0,1,0.0,14,weekday,normal
signal_controller,downtown,MQTT,subscribe,23690,1883,237,5.808,144.21,13756,2,183.605,0,0,0,1,0,0,0.0,10,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,24880,443,109,2.596,24.97,18401,2,59.699,2,0,0,1,0,1,0.014,9,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,46208,443,202,2.133,10.19,8127,3,56.66,0,0,0,1,0,1,0.074,12,weekday,normal
signal_controller,hospital_zone,MQTT,subscribe,29272,1883,181,5.955,86.48,3934,2,134.261,0,0,0,1,0,0,0.0,14,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,9880,443,392,17.956,9.62,22032,1,3.76,2,0,4,1,0,1,0.0,1,weekend,command_injection
traffic_camera,residential,TCP,none,58009,8080,1022,15.373,222.89,194289,1,83.966,1,0,0,1,0,0,0.0,23,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,7987,43511,43,9.991,1.42,1417,63,0.8177,1,0,0,1,0,0,0.0,2,weekday,port_scan
ambulance_tracker,downtown,HTTPS,none,10139,443,160,2.838,70.69,11136,2,403.16,0,0,0,0,1,1,12.43,2,weekday,spoofing
traffic_camera,downtown,TCP,none,16482,8080,1306,13.443,203.52,519951,3,462.024,0,0,0,0,0,0,0.0,1,weekday,normal
ambulance_tracker,downtown,HTTPS,none,19345,443,141,1.106,12.54,9613,3,197.361,0,0,0,1,0,0,0.038,23,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,42606,443,311,3.981,74.13,24982,2,487.094,1,0,0,1,0,0,0.151,4,weekday,normal
traffic_camera,downtown,TCP,none,44966,8080,1158,6.406,217.22,575383,1,17.027,0,0,1,1,0,0,0.0,11,weekday,normal
signal_controller,downtown,MQTT,subscribe,59745,1883,1216,358.61,3.23,2318,1,0.3373,672,54,0,0,0,0,0.0,6,weekday,ddos
dispatch_server,hospital_zone,HTTPS,none,23470,443,275,4.002,117.18,91379,1,173.943,1,0,0,1,0,1,0.0,8,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,58202,443,166,3.059,83.14,23449,2,268.34,2,0,0,1,0,0,0.051,4,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,41205,443,413,5.865,45.05,46889,2,58.389,1,0,0,1,0,1,0.0,1,weekday,normal
dispatch_server,downtown,HTTPS,none,25798,22,584,5.624,5.98,432,2,0.609,0,0,44,1,0,0,0.0,5,weekday,brute_force
dispatch_server,hospital_zone,HTTPS,none,46226,443,477,11.814,71.36,69335,1,55.157,2,0,1,1,0,0,0.0,8,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,38308,443,916,15.564,12.88,9325,4,2.411,0,1,2,0,0,1,0.0,22,weekday,command_injection
dispatch_server,hospital_zone,HTTPS,none,27547,443,805,11.156,95.47,6017,2,22.475,0,0,0,1,0,0,0.0,7,weekday,normal
signal_controller,residential,MQTT,subscribe,1494,1883,49,503.062,1.53,7957,1,0.3391,978,203,0,0,0,1,0.0,14,weekend,ddos
ambulance_tracker,hospital_zone,HTTPS,none,40815,443,206,1.665,63.79,6788,1,425.399,1,0,0,1,0,0,0.034,17,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,37284,443,205,5.273,67.41,193366,1,8.01,1,0,0,1,0,0,0.0,23,weekend,normal
signal_controller,residential,MQTT,subscribe,60360,1883,225,3.936,194.35,7881,2,151.716,0,0,0,1,0,0,0.0,22,weekday,normal
ambulance_tracker,downtown,HTTPS,none,50791,443,210,2.395,45.09,24521,4,55.973,1,0,0,1,0,0,0.033,8,weekday,normal
dispatch_server,downtown,HTTPS,none,28403,443,455,15.331,40.1,186451,4,209.133,0,0,0,1,0,0,0.0,15,weekday,normal
dispatch_server,downtown,HTTPS,none,2960,443,876,10.099,90.71,63388,1,52.952,0,0,0,1,0,0,0.0,4,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,23658,443,116,3.473,51.96,22944,1,96.828,0,1,0,1,0,1,0.058,11,weekend,normal
signal_controller,residential,MQTT,subscribe,7222,1883,112,1.688,90.34,2214,2,97.901,0,0,1,0,0,1,0.0,13,weekday,normal
signal_controller,downtown,MQTT,subscribe,36832,1883,104,4.253,88.79,1566,2,48.714,2,0,0,1,0,1,0.0,17,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,60674,443,258,2.92,82.39,6795,4,388.192,0,0,0,1,0,0,0.026,1,weekend,normal
dispatch_server,hospital_zone,HTTPS,none,53466,443,472,16.066,41.09,103129,1,56.122,0,0,0,1,0,0,0.0,12,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,46504,443,701,7.752,2.96,6108,1,1.053,1,0,14,1,0,0,0.0,13,weekday,brute_force
signal_controller,residential,MQTT,subscribe,22525,1883,44,149.474,2.39,3712,2,0.3564,1073,128,0,0,0,0,0.0,18,weekday,ddos
dispatch_server,downtown,HTTPS,none,33973,443,903,4.796,16.01,7440,5,9.284,2,1,4,0,0,1,0.0,1,weekday,command_injection
signal_controller,downtown,MQTT,subscribe,21031,1883,82,2.905,101.4,14399,3,90.532,0,0,0,0,0,0,0.0,4,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,57724,443,497,6.949,80.09,81993,1,61.057,1,0,0,1,0,1,0.0,2,weekend,normal
traffic_camera,arterial_road,TCP,none,10166,8080,53,405.925,0.39,219024,2,0.0386,807,160,0,0,0,0,0.0,22,weekday,ddos
signal_controller,downtown,MQTT,subscribe,54363,1883,152,0.925,251.76,4218,4,37.551,0,0,0,1,0,1,0.0,21,weekday,normal
signal_controller,downtown,MQTT,subscribe,64039,1883,46,152.107,0.16,7897,1,0.2216,244,203,0,0,0,0,0.0,16,weekday,ddos
ambulance_tracker,arterial_road,HTTPS,none,39220,443,237,2.526,21.87,13121,1,43.139,0,0,0,1,0,0,0.027,4,weekend,normal
dispatch_server,hospital_zone,HTTPS,none,36755,443,262,7.898,58.43,26421,3,216.519,0,1,0,1,0,0,0.0,1,weekday,normal
signal_controller,arterial_road,MQTT,subscribe,26871,1883,157,5.511,195.33,1955,1,131.476,0,2,0,1,0,0,0.0,10,weekday,normal
signal_controller,residential,MQTT,subscribe,3734,1883,217,1.324,280.52,9220,3,174.329,0,0,0,1,0,0,0.0,0,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,44539,443,248,0.991,14.59,15933,2,14.254,1,0,0,1,0,0,0.017,8,weekday,normal
dispatch_server,downtown,HTTPS,none,23690,443,789,17.656,59.18,145183,3,351.97,0,0,0,1,0,1,0.0,1,weekday,normal
dispatch_server,downtown,HTTPS,none,52041,443,219,4.099,43.15,21283,1,32.422,1,0,1,1,0,0,0.0,9,weekday,normal
traffic_camera,hospital_zone,TCP,none,25963,8080,938,17.088,225.12,595161,2,39.357,0,0,0,1,0,0,0.0,15,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,10706,443,442,6.774,18.35,197276,1,53.262,0,0,0,1,0,0,0.0,0,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,7766,51338,47,10.911,0.5,930,12,0.7625,0,0,0,1,0,0,0.0,20,weekday,port_scan
traffic_camera,hospital_zone,TCP,none,1946,8080,1051,5.665,265.75,402458,1,54.687,0,0,0,1,0,0,0.0,12,weekend,normal
traffic_camera,residential,TCP,none,28424,23183,175,12.159,1.57,2253,28,0.4784,2,0,0,1,0,0,0.0,23,weekday,port_scan
dispatch_server,hospital_zone,HTTPS,none,59984,443,302,17.486,96.59,148242,2,17.041,1,0,0,1,0,0,0.0,9,weekday,normal
traffic_camera,arterial_road,TCP,none,52511,8080,1317,22.424,55.83,139486,3,348.728,1,1,0,1,0,0,0.0,8,weekday,normal
signal_controller,residential,MQTT,subscribe,35882,1883,175,2.096,95.16,8183,1,61.523,1,0,0,0,0,0,0.0,17,weekday,normal
dispatch_server,downtown,HTTPS,none,13133,22,526,11.76,1.53,6236,3,1.46,0,0,27,1,0,0,0.0,11,weekday,brute_force
traffic_camera,residential,TCP,none,8679,8080,996,24.518,178.16,264193,1,18.089,0,0,0,1,0,0,0.0,4,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,22703,443,775,6.247,0.33,2459,1,2.72,0,0,50,1,0,0,0.0,9,weekday,brute_force
traffic_camera,downtown,TCP,none,53211,8080,1479,6.615,205.95,533132,2,53.901,0,0,2,1,0,0,0.0,9,weekday,normal
signal_controller,downtown,MQTT,subscribe,63269,1883,196,3.116,266.96,8296,2,16.698,0,0,0,1,0,0,0.0,8,weekday,normal
signal_controller,downtown,MQTT,subscribe,6544,1883,116,3.126,139.97,14599,1,160.18,0,0,0,1,0,1,0.0,9,weekend,normal
dispatch_server,downtown,HTTPS,none,39369,443,245,4.878,84.49,154912,1,15.974,0,0,0,1,0,1,0.0,21,weekend,normal
ambulance_tracker,hospital_zone,HTTPS,none,39162,443,195,1.376,74.59,5056,3,65.018,0,1,0,1,0,0,0.131,4,weekday,normal
traffic_camera,downtown,TCP,none,1108,8080,775,20.42,52.68,391699,3,56.432,1,0,0,1,0,0,0.0,8,weekday,normal
traffic_camera,hospital_zone,TCP,none,11820,8080,56,294.971,0.16,202987,1,0.0307,308,30,0,0,0,0,0.0,16,weekday,ddos
traffic_camera,downtown,TCP,none,41990,8080,1338,14.916,170.97,569313,3,293.73,1,0,0,1,0,0,0.0,16,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,48580,443,236,3.726,21.38,31691,1,88.181,0,0,0,1,1,0,3.621,14,weekday,spoofing
dispatch_server,hospital_zone,HTTPS,none,29443,443,610,17.866,130.28,50093,3,113.174,0,1,1,1,0,1,0.0,23,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,28535,443,193,2.156,52.87,20244,1,921.181,0,0,0,0,0,1,0.086,14,weekday,normal
traffic_camera,hospital_zone,TCP,none,36365,8080,1454,5.399,112.65,341318,1,69.461,0,0,0,0,0,0,0.0,1,weekend,normal
ambulance_tracker,arterial_road,HTTPS,none,2243,443,263,1.448,60.3,13717,2,4.495,0,1,0,1,0,0,0.063,21,weekday,normal
signal_controller,hospital_zone,MQTT,subscribe,8081,1883,110,5.777,155.38,11745,2,333.735,0,0,0,0,0,0,0.0,14,weekday,normal
signal_controller,arterial_road,MQTT,subscribe,18948,1883,146,3.549,218.17,14820,1,391.674,1,0,0,1,0,1,0.0,10,weekend,normal
signal_controller,residential,MQTT,subscribe,59222,1883,229,5.778,114.8,14011,2,118.586,0,0,0,1,0,0,0.0,20,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,32502,443,428,18.186,124.01,177571,1,284.936,1,1,0,1,0,0,0.0,6,weekend,normal
dispatch_server,hospital_zone,HTTPS,none,5021,443,375,18.685,12.31,63811,1,11.117,1,0,0,1,0,0,0.0,10,weekday,normal
dispatch_server,downtown,HTTPS,none,15185,443,803,14.16,66.42,10063,1,20.61,1,0,0,1,0,0,0.0,13,weekday,normal
traffic_camera,residential,TCP,none,42271,8080,944,14.755,291.04,388924,2,282.727,0,0,0,1,0,0,0.0,1,weekend,normal
dispatch_server,hospital_zone,HTTPS,none,60300,443,701,13.252,98.19,116063,2,64.664,1,1,0,1,0,1,0.0,1,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,6784,443,308,2.246,88.35,11599,3,120.195,1,0,0,0,1,1,12.075,18,weekday,spoofing
signal_controller,arterial_road,MQTT,subscribe,24796,1883,130,0.697,96.71,9325,1,6.112,0,0,0,1,0,0,0.0,6,weekday,normal
traffic_camera,arterial_road,TCP,none,10416,8080,1271,15.547,133.87,430546,1,108.02,2,1,0,1,0,0,0.0,23,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,2056,443,547,8.825,167.39,191167,1,53.879,0,0,0,1,0,0,0.0,18,weekday,normal
dispatch_server,downtown,HTTPS,none,17019,443,464,11.818,12.21,21484,5,5.156,0,0,3,0,0,1,0.0,1,weekend,command_injection
signal_controller,hospital_zone,MQTT,subscribe,49977,1883,136,2.274,124.47,14657,1,72.057,1,0,0,1,0,0,0.0,8,weekday,normal
ambulance_tracker,downtown,HTTPS,none,56077,443,140,1.99,88.71,3148,2,104.518,1,1,0,1,0,0,0.019,5,weekday,normal
signal_controller,arterial_road,MQTT,subscribe,20192,1883,119,4.002,205.1,8600,2,11.714,0,1,0,1,0,0,0.0,16,weekday,normal
ambulance_tracker,downtown,HTTPS,none,41024,443,190,0.522,62.7,18262,2,31.663,0,0,0,1,0,0,0.051,15,weekend,normal
signal_controller,arterial_road,MQTT,subscribe,57112,1883,115,5.863,110.96,9983,1,20.086,0,0,0,1,0,0,0.0,18,weekday,normal
dispatch_server,downtown,HTTPS,none,52518,22,508,5.234,1.22,6698,2,1.111,1,1,51,1,0,0,0.0,22,weekday,brute_force
traffic_camera,hospital_zone,TCP,none,42156,8080,740,24.628,156.63,546312,1,17.514,1,0,0,1,0,0,0.0,5,weekend,normal
traffic_camera,residential,TCP,none,12157,8080,53,157.894,0.97,167203,2,0.2166,406,342,1,0,0,0,0.0,15,weekday,ddos
signal_controller,hospital_zone,MQTT,subscribe,38754,1883,798,5.865,2.52,7598,5,11.661,0,1,0,0,0,1,0.0,21,weekday,command_injection
traffic_camera,arterial_road,TCP,none,34911,8080,1404,15.26,295.8,271966,1,149.054,0,0,0,1,0,0,0.0,7,weekday,normal
ambulance_tracker,downtown,HTTPS,none,42185,443,105,3.38,82.52,2686,1,21.044,1,0,0,1,0,0,0.077,16,weekday,normal
traffic_camera,arterial_road,TCP,none,12211,8080,1307,12.901,248.07,313519,4,30.41,0,0,0,1,0,0,0.0,8,weekend,normal
signal_controller,hospital_zone,MQTT,subscribe,30514,1883,247,5.401,80.89,7176,2,63.363,3,0,0,0,0,0,0.0,16,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,44314,24825,64,6.55,1.44,227,65,0.6904,0,0,0,1,0,0,0.0,1,weekend,port_scan
ambulance_tracker,downtown,HTTPS,none,46200,443,111,2.99,28.45,6481,1,259.776,1,0,0,1,0,1,0.117,19,weekend,normal
ambulance_tracker,hospital_zone,HTTPS,none,60624,443,204,1.001,84.67,14294,2,58.172,3,0,0,1,1,0,12.753,8,weekday,spoofing
signal_controller,residential,MQTT,subscribe,6808,1883,92,0.705,197.66,2754,3,44.915,0,1,0,0,0,0,0.0,12,weekday,normal
signal_controller,downtown,MQTT,subscribe,23544,1883,123,2.49,90.52,7777,1,69.2,0,0,0,1,0,0,0.0,1,weekend,normal
traffic_camera,residential,TCP,none,38683,8080,1342,502.06,2.8,560348,2,0.387,1069,272,0,0,0,0,0.0,10,weekend,ddos
dispatch_server,hospital_zone,HTTPS,none,59108,22,407,2.389,4.33,1139,2,0.709,0,0,53,1,0,0,0.0,20,weekday,brute_force
ambulance_tracker,hospital_zone,HTTPS,none,40112,443,104,0.512,23.53,22901,2,163.539,1,0,0,1,0,0,0.0,18,weekend,normal
ambulance_tracker,downtown,HTTPS,none,7657,443,308,2.763,54.45,5587,1,47.64,1,0,0,1,0,1,0.117,14,weekday,normal
signal_controller,hospital_zone,MQTT,subscribe,31847,1883,115,5.802,195.85,10652,4,59.291,0,1,0,0,0,0,0.0,22,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,55188,443,726,7.362,111.17,77031,1,276.276,0,0,0,1,0,0,0.0,12,weekday,normal
signal_controller,downtown,MQTT,subscribe,30651,1883,658,4.484,14.89,29011,4,1.724,2,1,2,1,0,1,0.0,3,weekday,command_injection
ambulance_tracker,hospital_zone,HTTPS,none,3083,443,281,2.271,36.13,1076,1,494.836,0,0,0,1,0,0,0.008,3,weekday,normal
ambulance_tracker,downtown,HTTPS,none,1190,443,241,0.828,74.81,22085,2,56.808,0,0,0,1,0,0,0.022,1,weekday,normal
traffic_camera,hospital_zone,TCP,none,58074,8080,1304,24.524,34.55,402143,1,158.321,1,1,0,1,0,0,0.0,18,weekend,normal
signal_controller,hospital_zone,MQTT,subscribe,46777,1883,149,1.267,140.86,3883,1,87.64,0,0,0,1,0,0,0.0,23,weekday,normal
ambulance_tracker,downtown,HTTPS,none,54371,443,206,3.145,89.8,13298,2,109.775,0,0,0,1,0,1,0.086,13,weekday,normal
ambulance_tracker,arterial_road,HTTPS,none,18762,443,121,3.683,15.22,23482,2,17.715,1,0,0,1,0,0,0.265,19,weekday,normal
traffic_camera,downtown,TCP,none,43053,56460,65,5.806,0.98,1975,86,0.4293,0,0,0,1,0,0,0.0,1,weekend,port_scan
ambulance_tracker,downtown,HTTPS,none,25761,443,194,1.834,25.38,37697,1,120.355,0,0,0,0,1,0,5.837,17,weekday,spoofing
dispatch_server,downtown,HTTPS,none,50610,4881,164,8.649,0.97,503,72,0.2005,0,0,0,1,0,0,0.0,16,weekday,port_scan
dispatch_server,hospital_zone,HTTPS,none,55588,443,865,4.935,124.25,89867,1,16.502,0,0,0,1,0,0,0.0,7,weekday,normal
traffic_camera,residential,TCP,none,56466,8080,73,456.319,1.33,381132,2,0.1311,712,327,0,0,0,0,0.0,4,weekend,ddos
dispatch_server,hospital_zone,HTTPS,none,12319,443,782,8.238,97.76,117611,1,8.286,0,0,0,1,0,1,0.0,4,weekend,normal
ambulance_tracker,arterial_road,HTTPS,none,35170,443,142,0.549,41.38,16804,2,85.105,3,0,0,1,0,0,0.024,19,weekday,normal
dispatch_server,hospital_zone,HTTPS,none,33459,443,326,19.914,120.33,171690,2,3.604,1,1,0,1,0,0,0.0,18,weekday,normal
traffic_camera,hospital_zone,TCP,none,1848,8080,717,13.905,147.92,86144,1,115.93,0,0,0,1,0,0,0.0,10,weekday,normal
ambulance_tracker,hospital_zone,HTTPS,none,41997,443,168,0.474,11.61,20378,2,13.727,0,0,1,0,1,1,6.319,20,weekday,spoofing
traffic_camera,residential,TCP,none,22873,8080,882,8.776,236.12,574801,1,356.512,0,0,0,1,0,0,0.0,11,weekend,normal
signal_controller,downtown,MQTT,subscribe,26869,1883,180,5.984,169.93,4890,3,147.567,0,0,0,1,0,0,0.0,3,weekday,normal
signal_controller,hospital_zone,MQTT,subscribe,36914,1883,166,1.353,122.29,3169,1,140.974,2,0,0,1,0,1,0.0,21,weekend,normal
dispatch_server,downtown,HTTPS,none,59484,443,747,13.875,108.13,198799,1,199.289,0,0,0,1,0,0,0.0,21,weekend,normal
traffic_camera,residential,TCP,none,46208,8080,943,10.437,217.24,191771,3,36.23,0,0,0,0,0,0,0.0,0,weekend,normal
dispatch_server,hospital_zone,HTTPS,none,1809,443,533,2.389,94.46,70897,2,255.627,0,0,0,1,0,0,0.0,23,weekend,normal
ambulance_tracker,hospital_zone,HTTPS,none,39259,443,217,0.576,63.35,10718,3,11.18,1,1,0,1,0,0,0.048,7,weekday,normal
ambulance_tracker,downtown,HTTPS,none,22483,443,198,3.665,67.64,16301,1,153.22,0,0,0,1,0,0,0.033,21,weekday,normal
signal_controller,arterial_road,MQTT,subscribe,63725,1883,112,3.428,238.36,7494,1,173.859,1,0,0,1,0,0,0.0,22,weekend,normal
ambulance_tracker,downtown,HTTPS,none,1376,443,114,1.932,36.69,11040,1,35.235,0,0,0,1,0,0,0.005,1,weekend,normal
ambulance_tracker,hospital_zone,HTTPS,none,5528,443,228,2.965,76.12,28549,2,14.59,0,0,0,0,1,0,3.912,11,weekday,spoofing
traffic_camera,arterial_road,TCP,none,23095,8080,744,24.355,257.85,237932,1,81.084,0,0,0,1,0,0,0.0,15,weekday,normal
traffic_camera,arterial_road,TCP,none,38020,8080,1443,16.394,113.16,502061,1,25.026,1,0,0,1,0,0,0.0,5,weekday,normal
dispatch_server,downtown,HTTPS,none,32511,24486,177,11.08,0.78,1639,24,0.824,1,0,0,1,0,0,0.0,16,weekday,port_scan
